x,y,cluster
37.56305360545779,-0.5524638997335057,1
37.572036758298985,-0.5524638997335057,1
37.58101991114018,-0.5524638997335057,1
37.59000306398138,-0.5524638997335057,3
37.598986216822574,-0.5524638997335057,3
37.61695252250496,-0.5524638997335057,1
37.625935675346156,-0.5524638997335057,1
37.63491882818735,-0.5524638997335057,1
37.652885133869745,-0.5524638997335057,1
37.66186828671094,-0.5524638997335057,1
37.67983459239333,-0.5524638997335057,2
37.68881774523452,-0.5524638997335057,2
37.69780089807572,-0.5524638997335057,2
37.706784050916916,-0.5524638997335057,2
37.71576720375811,-0.5524638997335057,2
37.47322207704584,-0.561447052574701,3
37.482205229887036,-0.561447052574701,3
37.49118838272823,-0.561447052574701,3
37.50017153556942,-0.561447052574701,3
37.50915468841062,-0.561447052574701,3
37.518137841251814,-0.561447052574701,3
37.52712099409301,-0.561447052574701,3
37.53610414693421,-0.561447052574701,3
37.5450872997754,-0.561447052574701,1
37.55407045261659,-0.561447052574701,1
37.56305360545779,-0.561447052574701,1
37.572036758298985,-0.561447052574701,1
37.58101991114018,-0.561447052574701,1
37.59000306398138,-0.561447052574701,1
37.61695252250496,-0.561447052574701,1
37.625935675346156,-0.561447052574701,1
37.652885133869745,-0.561447052574701,1
37.66186828671094,-0.561447052574701,1
37.67085143955213,-0.561447052574701,2
37.67983459239333,-0.561447052574701,2
37.68881774523452,-0.561447052574701,2
37.69780089807572,-0.561447052574701,2
37.706784050916916,-0.561447052574701,2
37.71576720375811,-0.561447052574701,2
37.482205229887036,-0.5704302054158962,3
37.49118838272823,-0.5704302054158962,3
37.50017153556942,-0.5704302054158962,3
37.50915468841062,-0.5704302054158962,3
37.518137841251814,-0.5704302054158962,3
37.52712099409301,-0.5704302054158962,3
37.53610414693421,-0.5704302054158962,3
37.5450872997754,-0.5704302054158962,3
37.55407045261659,-0.5704302054158962,1
37.56305360545779,-0.5704302054158962,1
37.572036758298985,-0.5704302054158962,1
37.58101991114018,-0.5704302054158962,1
37.59000306398138,-0.5704302054158962,1
37.598986216822574,-0.5704302054158962,1
37.60796936966377,-0.5704302054158962,1
37.61695252250496,-0.5704302054158962,1
37.63491882818735,-0.5704302054158962,1
37.64390198102855,-0.5704302054158962,1
37.66186828671094,-0.5704302054158962,2
37.67085143955213,-0.5704302054158962,2
37.67983459239333,-0.5704302054158962,2
37.68881774523452,-0.5704302054158962,2
37.69780089807572,-0.5704302054158962,2
37.706784050916916,-0.5704302054158962,2
37.71576720375811,-0.5704302054158962,2
37.482205229887036,-0.5794133582570914,3
37.49118838272823,-0.5794133582570914,3
37.50017153556942,-0.5794133582570914,3
37.50915468841062,-0.5794133582570914,3
37.518137841251814,-0.5794133582570914,3
37.52712099409301,-0.5794133582570914,3
37.53610414693421,-0.5794133582570914,3
37.5450872997754,-0.5794133582570914,3
37.55407045261659,-0.5794133582570914,3
37.56305360545779,-0.5794133582570914,3
37.58101991114018,-0.5794133582570914,1
37.59000306398138,-0.5794133582570914,1
37.598986216822574,-0.5794133582570914,1
37.60796936966377,-0.5794133582570914,1
37.63491882818735,-0.5794133582570914,1
37.67085143955213,-0.5794133582570914,2
37.67983459239333,-0.5794133582570914,2
37.68881774523452,-0.5794133582570914,2
37.69780089807572,-0.5794133582570914,2
37.706784050916916,-0.5794133582570914,2
37.71576720375811,-0.5794133582570914,2
37.7247503565993,-0.5794133582570914,2
37.482205229887036,-0.5883965110982866,3
37.49118838272823,-0.5883965110982866,3
37.50017153556942,-0.5883965110982866,3
37.50915468841062,-0.5883965110982866,3
37.518137841251814,-0.5883965110982866,3
37.52712099409301,-0.5883965110982866,3
37.53610414693421,-0.5883965110982866,3
37.5450872997754,-0.5883965110982866,3
37.55407045261659,-0.5883965110982866,3
37.56305360545779,-0.5883965110982866,3
37.572036758298985,-0.5883965110982866,3
37.60796936966377,-0.5883965110982866,1
37.652885133869745,-0.5883965110982866,2
37.66186828671094,-0.5883965110982866,2
37.67085143955213,-0.5883965110982866,2
37.67983459239333,-0.5883965110982866,2
37.68881774523452,-0.5883965110982866,2
37.69780089807572,-0.5883965110982866,2
37.706784050916916,-0.5883965110982866,2
37.71576720375811,-0.5883965110982866,2
37.7247503565993,-0.5883965110982866,2
37.482205229887036,-0.5973796639394818,3
37.49118838272823,-0.5973796639394818,3
37.50017153556942,-0.5973796639394818,3
37.50915468841062,-0.5973796639394818,3
37.518137841251814,-0.5973796639394818,3
37.52712099409301,-0.5973796639394818,3
37.53610414693421,-0.5973796639394818,3
37.5450872997754,-0.5973796639394818,3
37.55407045261659,-0.5973796639394818,3
